time;latitude;longitude;depth;mag;updated;magNst
2008-04-18T05:58:36.480Z;26;128.406;28.7;5.1;2016-11-10T01:54:51.352Z;
2009-12-28T04:13:28.170Z;28;128.424;91.5;4.6;2014-11-07T01:40:19.040Z;
2016-05-12T22:28:20.150Z;31;129.1689;10;4.5;2016-07-20T18:10:55.040Z;23
2012-02-27T19:31:51.720Z;25.557;127.096;42.2;5.4;2015-03-24T01:54:53.911Z;
2012-02-27T19:56:56.490Z;25.559;127.158;41.7;4.8;2014-11-07T01:47:05.312Z;32
2012-02-29T02:00:40.540Z;25.566;127.134;46.3;4.7;2014-11-07T01:47:05.771Z;11
2012-03-07T06:34:10.580Z;25.578;127.206;51;4.6;2014-11-07T01:47:12.223Z;8
2012-03-07T07:49:02.530Z;25.609;127.13;44.5;4.8;2014-11-07T01:47:12.272Z;26
2012-03-07T06:18:11.030Z;25.609;127.234;48;5.2;2015-03-24T01:56:52.380Z;134
2014-11-03T02:47:00.870Z;25.6499;128.4807;10;4.6;2015-01-20T09:03:13.040Z;11
2010-05-27T02:48:09.820Z;25.699;129.89;10;4.5;2014-11-07T01:41:33.234Z;
2010-05-26T11:51:23.840Z;25.715;130.097;10;5;2015-03-24T02:23:36.998Z;80
2004-03-03T21:21:49.860Z;25.723;128.367;4;4.9;2014-11-07T01:21:37.978Z;2
2014-09-10T14:42:16.940Z;25.7293;128.3255;10;4.5;2014-12-08T23:30:55.040Z;23
2010-06-05T07:55:06.570Z;25.754;129.947;6.4;4.6;2014-11-07T01:41:38.830Z;
2007-11-19T03:55:28.240Z;25.77;128.682;35;4.5;2014-11-07T01:34:12.025Z;
2010-05-26T08:53:08.030Z;25.773;129.944;10;6.5;2016-11-10T02:28:41.930Z;
2016-11-01T22:31:55.790Z;25.7755;128.4594;10;5.2;2017-01-24T02:02:14.040Z;91
2014-07-22T19:14:49.710Z;25.7765;130.2254;23.41;4.8;2014-10-17T21:12:15.000Z;13
2010-05-26T09:50:53.160Z;25.785;127.452;10;4.6;2014-11-07T01:41:33.114Z;2
2011-06-29T19:49:03.140Z;25.785;128.103;35;4.5;2014-11-07T01:45:11.807Z;4
2004-06-08T12:29:28.260Z;25.785;129.992;25;4.6;2014-11-07T01:22:35.152Z;5
2002-03-30T21:56:01.500Z;25.827;128.299;33;4.5;2014-11-07T01:15:16.300Z;3
2010-02-27T20:18:14.310Z;25.835;128.513;35;4.6;2014-11-07T01:40:47.170Z;
2005-06-15T07:14:45.310Z;25.836;128.22;123;5.2;2014-11-07T01:26:13.159Z;
2013-06-27T18:28:10.690Z;25.84;128.531;5.5;4.5;2014-11-07T01:51:07.848Z;5
2012-02-27T16:29:52.760Z;25.841;127.044;29.3;4.9;2014-11-07T01:47:05.226Z;1
2018-10-13T23:19:55.050Z;25.8498;128.1607;10;4.6;2018-10-26T22:32:40.040Z;40
2018-10-16T15:15:45.040Z;25.856;128.342;10;4.5;2018-10-23T16:43:49.040Z;13
2012-01-21T08:03:58.090Z;25.856;128.388;8.8;4.5;2014-11-07T01:46:49.086Z;12
2010-10-09T21:46:09.840Z;25.86;127.756;24.6;4.6;2015-03-24T01:12:44.169Z;
2010-04-03T02:19:54.950Z;25.863;128.531;16.9;4.6;2014-11-07T01:41:10.429Z;
2010-02-28T02:50:24.080Z;25.881;128.343;35;4.5;2014-11-07T01:40:47.858Z;11
2010-02-28T12:11:15.990Z;25.882;128.33;35;4.5;2014-11-07T01:40:48.512Z;8
2011-11-08T01:21:14.210Z;25.885;128.312;10.4;4.6;2014-11-07T01:46:19.120Z;11
2010-02-27T12:19:54.450Z;25.891;128.368;35;5.2;2015-03-24T02:05:51.006Z;
2012-01-21T05:50:02.840Z;25.902;128.308;8.4;4.8;2015-03-24T01:24:57.934Z;35
2012-01-21T05:49:02.630Z;25.906;128.331;12.9;4.5;2014-11-07T01:46:49.055Z;18
2010-02-27T01:33:20.090Z;25.908;128.294;4.2;4.5;2014-11-07T01:40:45.292Z;
2012-12-04T17:40:12.940Z;25.908;128.355;35;4.7;2014-11-07T01:49:32.584Z;3
2011-02-15T14:12:50.370Z;25.908;128.475;4.3;5.1;2015-03-24T01:44:52.708Z;
2011-02-16T23:45:10.380Z;25.909;128.281;6.9;5.2;2015-03-24T01:47:25.385Z;
2011-03-11T14:33:59.420Z;25.91;128.759;35;4.8;2014-11-07T01:43:57.546Z;13
2006-12-07T05:36:37.290Z;25.916;128.319;26.5;4.9;2016-11-10T01:32:14.136Z;
2016-01-04T13:53:14.220Z;25.9198;128.3266;12.61;4.9;2016-11-10T22:07:02.178Z;84
2010-03-02T08:21:43.920Z;25.921;128.067;35;4.9;2016-11-10T02:25:02.100Z;
2010-02-26T20:46:03.740Z;25.921;128.335;35;4.9;2014-11-07T01:40:45.249Z;7
2010-02-27T09:38:20.490Z;25.923;128.548;35;4.8;2014-11-07T01:40:45.935Z;16
2010-03-31T13:38:48.170Z;25.925;128.391;10;4.5;2014-11-07T01:41:06.720Z;
2010-02-26T20:31:26.970Z;25.93;128.425;25;7;2017-11-13T18:38:32.834Z;
2018-07-24T14:07:44.020Z;25.931;128.5219;5.68;4.5;2018-10-09T16:43:30.040Z;7
2011-02-15T14:16:54.650Z;25.935;128.337;12.9;4.8;2014-11-07T01:43:40.493Z;4
2011-11-07T20:03:06.980Z;25.936;128.477;10.1;4.6;2014-11-07T01:46:19.005Z;7
2010-02-28T01:20:29.990Z;25.937;128.433;3.5;5;2014-11-07T01:40:47.680Z;
2016-12-17T06:18:27.820Z;25.94;128.5262;10;4.9;2017-03-16T02:31:24.040Z;61
2010-12-11T03:17:40.500Z;25.944;128.468;9.5;4.5;2015-03-24T01:13:59.510Z;
2018-10-17T02:58:54.340Z;25.947;128.4265;18.41;4.8;2018-10-25T00:53:05.040Z;27
2011-02-15T17:23:50.880Z;25.95;128.308;13.3;4.8;2015-03-24T01:15:06.388Z;36
2010-03-01T03:15:59.040Z;25.953;128.445;36.3;4.8;2014-11-07T01:40:51.693Z;
2010-02-28T03:33:46.140Z;25.954;128.484;14.4;4.8;2015-03-24T01:04:24.813Z;
2010-02-28T02:51:41.590Z;25.954;128.484;1.3;5;2014-11-07T01:40:47.861Z;
2012-03-28T06:31:49.180Z;25.955;128.416;10;4.6;2014-11-07T01:47:20.033Z;5
2010-11-24T00:19:11.580Z;25.955;128.621;9.8;4.6;2014-11-07T01:42:57.389Z;
2010-03-02T09:35:20.440Z;25.957;128.49;35;4.9;2014-11-07T01:40:53.474Z;
2016-08-05T05:39:39.320Z;25.9571;128.564;10;4.5;2016-10-26T03:10:19.040Z;25
2002-07-02T23:26:30.420Z;25.959;128.41;33;4.9;2014-11-07T01:15:58.912Z;43
2018-10-15T08:05:22.260Z;25.9629;128.6829;10;4.7;2018-11-21T16:17:57.040Z;70
2010-11-24T00:06:28.470Z;25.963;128.388;10;4.7;2014-11-07T01:42:57.383Z;
2015-07-11T18:39:44.940Z;25.9708;128.3247;14.35;5;2015-10-09T20:19:13.040Z;160
2010-02-27T00:48:43.690Z;25.973;128.504;15.8;4.8;2014-11-07T01:40:45.268Z;
2015-04-29T00:26:51.540Z;25.9762;128.397;14.21;5;2015-07-03T00:23:46.040Z;106
2010-04-11T00:15:55.250Z;25.98;128.393;22;4.5;2015-03-24T01:07:36.911Z;
2008-04-18T07:43:48.790Z;25.983;128.39;26.3;5;2016-11-10T01:54:52.415Z;
2002-07-03T00:40:57.700Z;25.99;128.449;32.9;4.6;2014-11-07T01:15:58.972Z;16
2015-04-29T00:28:18.970Z;25.9938;128.4572;10;4.9;2015-07-03T00:23:46.040Z;52
2004-08-09T16:49:29.990Z;25.997;128.335;25.9;4.7;2014-11-07T01:23:10.506Z;
2008-04-18T07:45:36.150Z;25.997;128.468;10;4.7;2014-11-07T01:35:39.953Z;
2016-03-10T11:43:40.270Z;25.9999;128.2712;10.26;4.6;2016-05-16T18:01:50.040Z;27
2013-06-27T18:12:22.560Z;26.001;128.274;18.1;4.9;2014-11-07T01:51:07.843Z;55
2017-01-05T10:42:43.410Z;26.0058;128.7038;10;4.9;2017-03-27T23:53:23.040Z;66
2010-03-01T05:01:33.660Z;26.006;128.243;35;4.6;2014-11-07T01:40:51.747Z;
2010-03-07T08:13:43.260Z;26.006;128.44;16.4;4.5;2015-03-24T01:05:12.561Z;7
2013-11-03T12:59:34.930Z;26.0088;128.4469;9.06;4.6;2015-01-30T16:38:28.796Z;
2011-06-22T04:45:18.070Z;26.022;128.358;35;4.6;2014-11-07T01:45:08.902Z;12
2009-03-21T19:58:17.250Z;26.023;128.406;10.9;4.5;2015-03-24T02:40:58.856Z;
2004-08-09T16:24:56.030Z;26.028;128.464;28.2;4.9;2014-11-07T01:23:10.491Z;
2004-08-09T16:12:55.760Z;26.028;128.476;15;4.9;2014-11-07T01:23:10.485Z;
2013-03-27T19:46:00.490Z;26.039;128.383;17.6;4.6;2014-11-07T01:50:23.921Z;19
2001-08-30T06:12:26.550Z;26.044;128.434;33;5;2016-11-09T23:21:52.613Z;
2001-08-30T16:20:42.080Z;26.048;128.519;33;4.8;2014-11-07T01:13:39.416Z;12
2011-06-21T20:18:37.580Z;26.05;128.354;12.6;4.8;2014-11-07T01:45:08.842Z;51
2018-02-06T02:34:17.900Z;26.0563;128.4904;12.7;4.6;2018-05-03T22:14:59.040Z;49
2016-12-31T21:08:02.160Z;26.058;128.7113;8.26;4.8;2017-03-23T22:52:11.040Z;54
2004-04-05T02:56:36.600Z;26.063;128.488;27.2;4.8;2014-11-07T01:21:54.665Z;13
2009-03-22T14:45:47.000Z;26.063;128.522;17.3;5.1;2016-11-10T02:09:54.990Z;
2004-04-03T18:15:24.250Z;26.066;128.581;26.2;4.5;2014-11-07T01:21:53.798Z;9
2005-06-20T07:16:16.770Z;26.081;128.448;28.2;5.3;2016-11-10T01:07:41.748Z;
2013-11-03T12:27:52.640Z;26.0861;128.4107;13.4;4.5;2014-01-10T10:03:45.000Z;
2013-11-12T16:01:02.230Z;26.0869;128.4197;13.46;4.6;2014-01-31T21:22:16.000Z;
2013-11-03T12:16:56.220Z;26.0913;128.4171;19.18;5.4;2015-01-30T02:35:04.779Z;
2002-03-23T14:23:54.590Z;26.098;128.387;33;4.5;2014-11-07T01:15:13.332Z;1
2013-12-29T09:11:32.660Z;26.1029;128.5694;19.77;4.6;2014-02-28T08:44:12.000Z;
2010-06-26T00:18:31.180Z;26.111;129.393;15.4;4.9;2016-11-10T02:29:52.631Z;
2004-01-07T09:05:55.760Z;26.113;128.655;25.7;4.6;2014-11-07T01:20:59.937Z;16
2007-04-18T17:20:16.700Z;26.12;128.656;10;4.6;2014-11-07T01:32:13.329Z;
2011-05-05T23:21:22.100Z;26.124;128.398;10;5.5;2015-03-24T01:54:35.207Z;
2001-08-30T13:41:13.250Z;26.13;128.598;43.5;4.6;2014-11-07T01:13:39.398Z;9
2016-12-29T07:18:40.790Z;26.1339;128.6373;7.57;4.6;2017-03-23T22:52:08.040Z;19
2017-07-12T19:04:31.430Z;26.1364;128.3827;16.92;4.6;2017-10-06T23:56:15.040Z;62
2005-06-20T07:00:27.550Z;26.14;128.507;31.7;4.8;2016-11-10T01:07:41.249Z;
2001-07-29T04:37:32.670Z;26.141;128.711;38.4;4.5;2014-11-07T01:13:22.799Z;9
2001-04-20T01:38:55.340Z;26.141;129.453;33;4.6;2014-11-07T01:12:36.828Z;19
2003-11-29T23:01:26.800Z;26.145;127.068;33;4.6;2014-11-07T01:20:34.549Z;2
2014-02-08T06:16:25.880Z;26.1471;128.1546;13.83;4.5;2014-04-22T18:30:09.000Z;17
2012-03-11T07:25:46.460Z;26.161;127.063;81.1;4.5;2015-03-24T02:41:16.537Z;13
2017-10-15T13:35:45.870Z;26.1716;129.8006;10;4.9;2018-01-11T02:22:02.040Z;87
2003-03-09T00:23:23.870Z;26.172;128.648;28.1;4.5;2014-11-07T01:18:01.872Z;13
2009-04-02T20:40:15.570Z;26.179;128.189;31.9;4.5;2014-11-07T01:38:42.608Z;
2014-02-19T10:29:53.560Z;26.1977;128.225;26.98;4.8;2015-01-30T04:08:26.278Z;56
2004-05-18T04:57:59.450Z;26.228;128.261;27.1;4.6;2014-11-07T01:22:20.632Z;2
