capital;year;population;estimated_area;Latitude;Longitude
Sapporo-shi;2016;5383579;83457;43.061936;141.3542924
Aomori-shi;2016;1308649;9644.55;40.8222833;140.7472027
Akita-shi;2016;1022839;11636.28;39.7197629;140.1034669
Morioka-shi;2016;1279814;15278.89;39.7021331;141.1545397
Sendai-shi;2016;2334215;7285.77;38.2677554;140.8691498
Yamagata-shi;2016;1122957;9323.46;38.2553393;140.3400205
Niigata-shi;2016;2305098;12583.83;37.9163757;139.0365062
Fukushima-shi;2016;1913606;13782.76;37.760777;140.4745807
Toyama-shi;2016;1066883;4247.61;36.6957569;137.2136215
Nagano-shi;2016;2099759;13562.23;36.6485851;138.1947664
Kanazawa-shi;2016;1154343;4185.67;36.561627;136.6568822
Utsunomiya-shi;2016;1974671;6408.28;36.5549677;139.8828776
Maebashi-shi;2016;1973476;6362.33;36.3893418;139.0632826
Mito-shi;2016;2917857;6095.72;36.3659174;140.4731743
Fukui-shi;2016;787099;4189.88;36.061751;136.2260542
Saitama-shi;2016;7261271;3798.08;35.8616402;139.6457957
Shinjuku-ku;2016;13513734;2188.67;35.6937632;139.7036319
Kofu-shi;2016;835165;4465.37;35.6652481;138.5710441
Chiba-shi;2016;6224027;5156.61;35.609985;140.118126
Tottori-shi;2016;573648;3507.28;35.4943948;134.2219282
Matsue-shi;2016;694188;6707.96;35.468115;133.048768
Yokohama-shi;2016;9127323;2415.86;35.4503381;139.6343802
Gifu-shi;2016;2032533;10621.17;35.4230949;136.7627526
Nagoya-shi;2016;7484094;5165.12;35.1851045;136.8998438
Kyoto-shi;2016;2610140;4613.21;35.021041;135.7556075
otsu-shi;2016;1413184;4017.36;35.0047096;135.8686739
Shizuoka-shi;2016;3701181;7780.5;34.979149;138.38299
Tsu-shi;2016;1815827;5777.31;34.7341973;136.5153283
osaka-shi;2016;8838908;1899.28;34.6937569;135.5014539
Kobe-shi;2016;5536989;8396.16;34.6932379;135.1943764
Nara-shi;2016;1365008;3691.09;34.6845445;135.8048359
Okayama-shi;2016;1922181;7113.23;34.6553944;133.9194595
Hiroshima-shi;2016;2844963;8479.7;34.3917241;132.4517589
Takamatsu-shi;2016;976756;1876.55;34.3425592;134.0465338
Wakayama-shi;2016;963850;4726.29;34.2345797;135.178303
Yamaguchi-shi;2016;1405007;6114.09;34.1781317;131.4737077
Tokushima-shi;2016;756063;4146.74;34.0698307;134.5550353
Matsuyama-shi;2016;1385840;5678.33;33.8395188;132.7653521
Fukuoka-shi;2016;5102871;4978.51;33.5898988;130.4017509
Kochi-shi;2016;728461;7105.16;33.5680384;133.5394221
Saga-shi;2016;833245;2439.65;33.2639134;130.3008378
oita-shi;2016;1166729;6339.74;33.2393864;131.6096524
Kumamoto-shi;2016;1786969;7404.79;32.7833323;130.7333361
Nagasaki-shi;2016;1377780;4105.47;32.7501611;129.8781002
Miyazaki-shi;2016;1104377;7735.99;31.9076334;131.4204022
Kagoshima-shi;2016;1648752;9188.82;31.596793;130.5571949
Naha-shi;2016;1434138;2276.49;26.2122345;127.6791452
Sapporo-shi;2011;5506419;83457;43.061936;141.3542924
Aomori-shi;2011;1373339;9644.55;40.8222833;140.7472027
Akita-shi;2011;1085997;11636.28;39.7197629;140.1034669
Morioka-shi;2011;1330147;15278.89;39.7021331;141.1545397
Sendai-shi;2011;2348165;7285.77;38.2677554;140.8691498
Yamagata-shi;2011;1168924;9323.46;38.2553393;140.3400205
Niigata-shi;2011;2374450;12583.83;37.9163757;139.0365062
Fukushima-shi;2011;2029064;13782.76;37.760777;140.4745807
Toyama-shi;2011;1093247;4247.61;36.6957569;137.2136215
Nagano-shi;2011;2152449;13562.23;36.6485851;138.1947664
Kanazawa-shi;2011;1169788;4185.67;36.561627;136.6568822
Utsunomiya-shi;2011;2007683;6408.28;36.5549677;139.8828776
Maebashi-shi;2011;2008068;6362.33;36.3893418;139.0632826
Mito-shi;2011;2969770;6095.72;36.3659174;140.4731743
Fukui-shi;2011;806314;4189.88;36.061751;136.2260542
Saitama-shi;2011;7194556;3798.08;35.8616402;139.6457957
Shinjuku-ku;2011;13159388;2188.67;35.6937632;139.7036319
Kofu-shi;2011;863075;4465.37;35.6652481;138.5710441
